LocalTime;CPUTemp
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:40;44
08/04/2025 05:40;45
08/04/2025 05:40;47
08/04/2025 05:40;49
08/04/2025 05:40;51
08/04/2025 05:40;52
08/04/2025 05:40;53
08/04/2025 05:40;54
08/04/2025 05:40;55
08/04/2025 05:40;56
08/04/2025 05:40;57
08/04/2025 05:40;58
08/04/2025 05:41;59
08/04/2025 05:41;60
08/04/2025 05:41;61
08/04/2025 05:41;62
08/04/2025 05:41;63
08/04/2025 05:41;63
08/04/2025 05:41;64
08/04/2025 05:41;65
08/04/2025 05:41;67
08/04/2025 05:41;68
08/04/2025 05:41;68
08/04/2025 05:41;70
08/04/2025 05:42;70
08/04/2025 05:42;70
08/04/2025 05:42;71
08/04/2025 05:42;71
08/04/2025 05:42;71
08/04/2025 05:42;72
08/04/2025 05:42;72
08/04/2025 05:42;72
08/04/2025 05:42;72
08/04/2025 05:42;71
08/04/2025 05:42;72
08/04/2025 05:42;72
08/04/2025 05:43;72
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:43;71
08/04/2025 05:44;71
08/04/2025 05:44;71
08/04/2025 05:44;71
08/04/2025 05:44;71
08/04/2025 05:44;71
08/04/2025 05:44;70
08/04/2025 05:44;70
08/04/2025 05:44;70
08/04/2025 05:44;71
08/04/2025 05:44;70
08/04/2025 05:44;70
08/04/2025 05:44;70
08/04/2025 05:45;70
08/04/2025 05:45;71
08/04/2025 05:45;70
08/04/2025 05:45;70
08/04/2025 05:45;70
08/04/2025 05:45;70
08/04/2025 05:45;70
08/04/2025 05:45;71
08/04/2025 05:45;71
08/04/2025 05:45;72
08/04/2025 05:45;72
08/04/2025 05:45;71
08/04/2025 05:46;71
08/04/2025 05:46;71
08/04/2025 05:46;71
08/04/2025 05:46;71
08/04/2025 05:46;72
08/04/2025 05:46;72
08/04/2025 05:46;72
08/04/2025 05:46;72
08/04/2025 05:46;71
08/04/2025 05:46;71
08/04/2025 05:46;71
08/04/2025 05:46;71
08/04/2025 05:47;71
08/04/2025 05:47;71
08/04/2025 05:47;73
08/04/2025 05:47;73
08/04/2025 05:47;73
08/04/2025 05:47;73
08/04/2025 05:47;72
08/04/2025 05:47;72
